"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"30207","0","Jamike at Mineola - In","","39.047113","-84.634461","Transit Authority of Northern Kentucky","","0",""
"857","0","Monte at Vivian - Out","","39.055726","-84.519684","Transit Authority of Northern Kentucky","","0",""
"615","0","S Ft Thomas at Lockwood - In","","39.070772","-84.447091","Transit Authority of Northern Kentucky","","0",""
"100355","0","Dixie atTurfway - In","","39.004345","-84.620218","Transit Authority of Northern Kentucky","","0",""
"858","0","Monte at Janes - In","","39.055906","-84.519537","Transit Authority of Northern Kentucky","","0",""
"616","0","S Ft Thomas at Bivouac - Out","","39.07107","-84.445838","Transit Authority of Northern Kentucky","","0",""
"30209","0","Alexandria at Marian - Out","","39.021634","-84.439965","Transit Authority of Northern Kentucky","","0",""
"25080","0","Winston at 39th - In","","39.045327","-84.504235","Transit Authority of Northern Kentucky","","0",""
"859","0","Monte at Rose - Out","","39.056558","-84.518231","Transit Authority of Northern Kentucky","","0",""
"617","0","S Ft Thomas at Rossmore - In","","39.071181","-84.446034","Transit Authority of Northern Kentucky","","0",""
"100115","0","Dixie at Fort Mitchell - Out","","39.053656","-84.549733","Transit Authority of Northern Kentucky","","0",""
"618","0","E Villa Pl at S Ft Thomas - Out","","39.072729","-84.446381","Transit Authority of Northern Kentucky","","0",""
"30203","0","Dolwick at 1017 - In","","39.055718","-84.621074","Transit Authority of Northern Kentucky","","0",""
"619","0","S Ft Thomas at E Villa - In","","39.07271","-84.44662","Transit Authority of Northern Kentucky","","0",""
"30206","0","Jamike at Mineola - In","","39.047038","-84.634122","Transit Authority of Northern Kentucky","","0",""
"100370","0","Dixie at Main - In","","39.010277","-84.609312","Transit Authority of Northern Kentucky","","0",""
"100130","0","Dixie at Pleasant Ridge - Out","","39.038986","-84.557245","Transit Authority of Northern Kentucky","","0",""
"25095","0","Decoursey at 36th - In","","39.048618","-84.503132","Transit Authority of Northern Kentucky","","0",""
"10602","0","Fairfield at Riviera - Out","","39.102199","-84.488116","Transit Authority of Northern Kentucky","","0",""
"860","0","Monte at Rose - In","","39.056705","-84.518144","Transit Authority of Northern Kentucky","","0",""
"861","0","Monte at Benton - In","","39.058196","-84.515577","Transit Authority of Northern Kentucky","","0",""
"862","0","White Ct at Monte - Out","","39.05822","-84.515377","Transit Authority of Northern Kentucky","","0",""
"620","0","S Ft Thomas at Klainecrest - In","","39.072166","-84.44625","Transit Authority of Northern Kentucky","","0",""
"10605","0","Newport on Levee - In","","39.094542","-84.495433","Transit Authority of Northern Kentucky","","0",""
"863","0","Phelps at White - Out","","39.058039","-84.51373","Transit Authority of Northern Kentucky","","0",""
"621","0","S Ft Thomas at Tremont - Out","","39.074162","-84.447091","Transit Authority of Northern Kentucky","","0",""
"864","0","Todd at Benton - Out","","39.057941","-84.512615","Transit Authority of Northern Kentucky","","0",""
"622","0","S Ft Thomas at Tremont - In","","39.074227","-84.447286","Transit Authority of Northern Kentucky","","0",""
"623","0","Highland at Ft Thomas - Out","","39.0781","-84.4495","Transit Authority of Northern Kentucky","","0",""
"865","0","Alden at Welsh - Out","","39.058683","-84.512624","Transit Authority of Northern Kentucky","","0",""
"10607","0","Monmouth at Third - Out","","39.093814","-84.496335","Transit Authority of Northern Kentucky","","0",""
"624","0","Linden at S Ft Thomas - In","","39.075448","-84.447247","Transit Authority of Northern Kentucky","","0",""
"625","0","6th at Monmouth - Out","","39.091566","-84.493307","Transit Authority of Northern Kentucky","","0",""
"867","0","White ct at Phelp - In","","39.05787","-84.513772","Transit Authority of Northern Kentucky","","0",""
"100365","0","Dixie at Cave Run - In","","39.008456","-84.611494","Transit Authority of Northern Kentucky","","0",""
"868","0","Holman at 19th - In","","39.0667","-84.5104","Transit Authority of Northern Kentucky","","0",""
"626","0","S Ft Thomas at Chalfonte - In","","39.076444","-84.447225","Transit Authority of Northern Kentucky","","0",""
"627","0","N Fort Thomas at Lumley - In","","39.080147","-84.448508","Transit Authority of Northern Kentucky","","0",""
"100125","0","Dixie at Highland - Out","","39.040958","-84.555059","Transit Authority of Northern Kentucky","","0",""
"628","0","St Nicholas at S Ft Thomas - Out","","39.077613","-84.447977","Transit Authority of Northern Kentucky","","0",""
"25090","0","Rittes Corner - In","","39.047106","-84.503321","Transit Authority of Northern Kentucky","","0",""
"629","0","N Montrose at N Ft Thomas - In","","39.083685","-84.451969","Transit Authority of Northern Kentucky","","0",""
"10600","0","Fairfield at Berry - Out","","39.104221","-84.485651","Transit Authority of Northern Kentucky","","0",""
"100180","0","Dixie at Hallem - Out","","39.018092","-84.597614","Transit Authority of Northern Kentucky","","0",""
"100185","0","Dixie at Commonwealth - Out","","39.016603","-84.601119","Transit Authority of Northern Kentucky","","0",""
"10490","0","W 8th at Isabella - Out","","39.08658","-84.497242","Transit Authority of Northern Kentucky","","0",""
"10493","0","Isabella at W 9th - In","","39.085119","-84.495742","Transit Authority of Northern Kentucky","","0",""
"10251","0","Taylor Mill at Mafred - In","","38.990034","-84.502774","Transit Authority of Northern Kentucky","","0",""
"10492","0","Isabella at W 9th - Out","","39.085211","-84.496008","Transit Authority of Northern Kentucky","","0",""
"10250","0","Walnut at Taylor Mill - In","","39.017924","-84.505941","Transit Authority of Northern Kentucky","","0",""
"872","0","Holman at 19th - In","","39.066496","-84.510429","Transit Authority of Northern Kentucky","","0",""
"630","0","N Ft Thomas at Taylor - In","","39.085179","-84.452911","Transit Authority of Northern Kentucky","","0",""
